Blue Light (Forward),Blue Light (Reverse),Radio Waves (Forward),Radio Waves (Reverse),Red Light (Forward),Red Light (Reverse),White Light (Forward),White Light (Reverse)
147.93658,7.294519,59.415604,12.983037,4.2668247,117.13537,57.80161,16.146477
14.171756,18.41746,6.597623,63.36649,37.60815,197.15912,92.71008,3.791689
69.55487,16.182682,15.443321,32.1823,7.5290995,335.0459,48.693497,0.89438146
54.165146,38.278973,7.069073,11.946268,15.20433,242.44524,48.385143,26.190346
63.115433,96.58604,206.25256,11.226515,35.912487,89.27415,116.29572,72.77909
23.881401,116.07925,269.96262,30.072454,34.010147,136.53784,18.092583,118.87947
17.938114,58.402565,135.51796,18.740437,106.94908,183.84137,77.1891,110.2772
28.31803,101.827065,73.16546,35.72123,178.0999,174.07837,114.34289,87.31063
23.618711,49.29139,184.30765,291.0455,110.01405,158.64963,65.925026,79.43445
94.58112,10.302696,195.53162,501.20218,16.720413,86.29585,38.865208,38.75158
48.597874,40.91917,22.11653,271.33188,38.457684,43.231976,2.317122,128.23561
52.894165,15.897794,133.47377,73.300125,40.31494,20.189375,56.931652,173.05966
23.533756,277.77603,159.57977,34.31848,26.73265,24.65187,32.557472,78.89516
78.53243,202.42012,117.510544,3.7126539,27.635195,69.62093,0.92736083,15.759061
35.318832,12.652713,214.98282,59.09409,19.544352,16.621325,31.854033,29.851887
61.44057,88.42674,145.15308,95.91035,11.89991,20.488838,83.9587,254.9158
8.598638,197.66588,56.51127,35.956642,17.600859,45.96177,11.855361,447.9979
64.92461,257.8943,48.169884,2.2249842,131.25491,4.7032776,40.07525,296.78458
80.89779,111.16317,43.79921,29.711054,106.454735,61.479717,90.528595,25.50575
12.479902,149.2267,43.516743,2.501567,133.3312,19.115904,99.792244,6.7648563
36.089424,114.59695,96.57943,12.95562,187.38504,30.619652,31.804066,31.684307
48.971466,40.203842,89.52286,6.713329,141.95772,8.820696,42.471153,28.822416
93.858505,9.528216,12.839068,25.0117,187.19827,10.097788,47.770462,124.63744
72.12904,20.247992,25.698458,71.44891,156.99998,21.477018,156.57677,207.95293
101.2833,240.94173,24.932325,27.324268,47.967136,18.7056,303.26825,53.700413
95.971596,235.39258,31.206892,25.119652,82.2307,15.42528,185.59787,16.897144
191.23605,244.84497,20.710232,22.532839,63.157223,39.882664,65.10037,30.26196
232.40399,88.46553,19.259478,57.5361,47.09402,2.7413185,234.52287,90.76083
35.570244,416.71252,8.416797,18.55975,98.29336,14.615565,246.15427,9.985815
42.672573,400.75977,12.372151,69.56186,44.611694,46.08307,212.10913,17.474678
80.46992,398.5132,45.140625,102.44619,37.595913,4.685192,193.87491,35.04458
201.94928,322.1429,54.190994,51.323315,63.328114,5.240948,135.67155,85.75629
172.80013,182.13058,63.42793,126.4349,2.6552901,6.3308587,38.856586,61.315384
86.30946,285.10626,84.408875,161.95648,34.527393,9.058983,43.477795,36.002148
51.751194,187.69998,100.401085,122.9972,14.155587,7.5620527,108.89545,50.66553
75.859375,14.732669,57.570698,75.248795,7.359461,20.157015,25.753212,73.056076
134.29295,102.842606,8.640682,20.018337,24.575,84.61268,74.90103,54.015285
162.5242,37.179356,17.631563,60.44396,17.364666,245.93164,95.8393,37.830715
137.14151,38.550983,50.071377,73.15251,101.53732,305.68085,15.022545,268.22144
254.81325,110.177055,83.357086,16.970486,127.516975,222.68414,7.0092072,479.14395
199.11635,77.40821,18.901451,70.425156,37.71037,112.54908,24.190144,402.3896
62.392723,6.791899,60.914745,5.8031583,70.09089,124.7633,7.499935,251.57465
142.26378,344.73486,164.11133,52.206,77.072,192.9169,39.964806,200.52124
120.16125,165.64261,107.01922,21.753456,4.228359,160.03891,32.24258,115.98828
52.26885,17.764786,30.035969,66.50573,49.83905,84.10053,23.285099,89.50274
4.3656545,83.01016,57.92799,61.678516,41.257446,180.96176,44.435287,126.705795
32.96575,32.079945,149.07315,29.771664,14.908476,304.19858,70.08212,75.19391
158.2959,315.44394,245.01247,372.6267,51.4188,237.13527,31.153723,26.770594
14.237516,19.782812,172.75197,386.5722,108.01859,122.39572,48.070282,225.32756
198.64186,72.65828,68.78464,171.37984,71.74247,76.20053,280.6799,291.84714
219.50282,19.701319,28.598593,113.38219,33.80507,148.76419,38.26242,172.13718
163.25203,147.59863,31.349146,104.15435,49.956543,165.07217,119.43965,207.4994
242.76363,122.755005,15.058037,165.79562,101.46338,104.968636,198.06924,6.6728697
62.40161,48.25985,49.748764,202.15552,30.085398,110.51063,165.85234,7.126658
313.0707,20.663202,65.764885,145.51645,8.94759,156.01903,154.4041,46.426903
74.56962,0.47675776,103.20187,226.91663,41.912273,198.82393,268.7845,20.295162
84.24327,17.818434,72.10703,255.70135,94.56715,131.46692,312.459,10.107769
209.40619,20.765553,21.103775,232.84998,136.20573,157.51857,248.5511,10.647496
142.29832,26.591547,23.56661,336.34836,57.89767,242.04518,218.92671,14.201535
324.1513,429.66528,18.828176,332.2455,35.69078,153.08456,141.6507,13.753004
34.752518,516.0056,16.999607,211.11479,45.532776,130.34927,86.15328,28.593067
211.64589,383.21478,22.725986,33.03692,89.518364,189.10548,55.840298,36.3877
77.21523,180.80388,74.982025,65.58297,19.030107,217.57544,75.27912,28.292604
266.41653,80.04614,222.47241,167.34706,6.1352935,213.64275,64.99269,10.868022
234.79698,52.02576,318.66934,7.3201656,12.452202,199.88426,19.950914,27.51653
359.17926,23.8611,505.26572,2.3751216,37.097477,128.7972,9.423771,25.097424
155.9335,100.90354,493.13336,37.19454,12.913768,186.64693,38.93268,32.877804
384.26413,169.73994,361.16193,64.36419,33.77416,271.26874,53.888294,13.45335
369.36218,118.53743,480.3161,19.412006,7.9277697,164.54886,29.012316,12.284546
144.08028,178.7482,460.6877,3.6578891,11.210487,195.35556,39.813896,8.980903
202.88516,198.69785,280.35104,13.881183,16.291306,223.19778,11.687536,44.479168
194.43901,459.26315,207.95564,61.54126,20.701529,258.4879,14.091269,7.567246
148.65958,374.8602,344.76978,33.719692,40.56448,385.5872,113.846756,9.730167
135.4522,55.460888,389.65527,15.899484,2.1032138,444.0511,147.9284,7.582933
62.526424,66.47689,366.47705,249.84334,34.650204,374.07843,156.93004,43.318775
118.10413,37.62212,234.46735,446.38782,50.117622,292.3277,185.10995,7.339928
172.78041,25.054394,338.35696,408.27295,24.358225,236.17308,241.76253,51.21284
129.1799,43.832813,383.44775,64.82317,9.743244,193.97093,218.7155,50.2288
168.17513,78.76776,361.0676,199.78142,26.77954,204.02536,189.50858,10.906938
194.06116,25.16669,528.34375,17.350607,4.734453,101.61107,162.9763,28.329338
171.83553,49.484184,529.8916,52.096283,38.873627,29.679651,139.38777,41.265717
187.08629,214.77377,344.569,62.44378,40.274128,69.74568,97.60373,13.167985
214.13318,186.6704,261.3372,30.813145,8.138197,17.686184,123.96094,36.29523
87.515755,146.74542,109.168884,135.76059,25.109089,8.935015,67.33777,82.15523
40.383472,90.68016,31.480862,351.08435,49.528328,4.7130322,15.21976,40.512737
18.05488,75.006355,229.66992,466.77124,7.398032,53.479847,128.46089,2.3578176
46.345806,42.69953,226.39288,582.8565,116.30879,11.032808,96.021255,25.924356
